Date,Price,Open,High,Low,Vol.,Change %
"Mar 03, 2024",197.4,199.2,199.4,199.2,0.02K,0.0186
"Feb 29, 2024",193.8,193.55,193.55,192,0.02K,-1.05%
"Feb 28, 2024",195.85,181.1,185.7,180.25,19.19K,0.0129
"Feb 27, 2024",193.35,192.8,193.4,192.05,0.10K,-0.36%
"Feb 26, 2024",194.05,191.1,192.55,188.55,0.09K,0.0208
"Feb 25, 2024",190.1,190.8,191.85,190,0.05K,-0.47%
"Feb 22, 2024",191,193.9,193.9,190.7,0.14K,-1.47%
"Feb 21, 2024",193.85,197.45,198,193.5,0.14K,-2.27%
"Feb 20, 2024",198.35,197.6,198.95,195.35,0.40K,0.0352
"Feb 19, 2024",191.6,192.4,197.95,189.6,10.72K,0.0039
